https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1557964800,2019-05-16 00:00:00,ETH/GBP,191.74,215.39,190.01,206.17,545447.31,2697.79
1557878400,2019-05-15 00:00:00,ETH/GBP,167.79,192.73,167.15,191.74,120494.81,670.23
1557792000,2019-05-14 00:00:00,ETH/GBP,149.82,170.29,149.75,167.79,333879.24,2102.8
1557705600,2019-05-13 00:00:00,ETH/GBP,144.08,158.04,143.1,149.82,245619.97,1608.01
1557619200,2019-05-12 00:00:00,ETH/GBP,148.22,154.54,141.43,144.08,204209.09,1402.55
1557532800,2019-05-11 00:00:00,ETH/GBP,134.08,156.24,134.08,148.22,299090.01,2046.51
1557446400,2019-05-10 00:00:00,ETH/GBP,133.6,136.75,131.14,134.08,50800.72,380.69
1557360000,2019-05-09 00:00:00,ETH/GBP,135.62,138.57,130.94,133.6,73878.06,547.43
1557273600,2019-05-08 00:00:00,ETH/GBP,135.03,137.7,129.55,135.62,226849.96,1716.98
1557187200,2019-05-07 00:00:00,ETH/GBP,139.04,145.74,134.75,135.03,106332.19,757.15
1557100800,2019-05-06 00:00:00,ETH/GBP,129.88,142.65,127.92,139.04,228739.77,1721.31
1557014400,2019-05-05 00:00:00,ETH/GBP,129.73,130.59,126.42,129.88,19421.16,150.56
1556928000,2019-05-04 00:00:00,ETH/GBP,133.42,134.78,127.86,129.73,26505.27,203.45
1556841600,2019-05-03 00:00:00,ETH/GBP,130.02,138.99,129.06,133.42,160435.56,1201.57
1556755200,2019-05-02 00:00:00,ETH/GBP,128.55,130.79,127.82,130.02,31097.14,240.0
1556668800,2019-05-01 00:00:00,ETH/GBP,130.89,132.03,127.66,128.55,33979.01,262.4
1556582400,2019-04-30 00:00:00,ETH/GBP,125.1,131.61,125.1,130.89,149952.52,1166.9
1556496000,2019-04-29 00:00:00,ETH/GBP,126.08,127.11,121.65,125.1,103221.45,832.03
1556409600,2019-04-28 00:00:00,ETH/GBP,126.4,128.84,125.04,126.08,53836.35,424.91
1556323200,2019-04-27 00:00:00,ETH/GBP,124.58,128.3,123.43,126.4,22063.42,176.74
1556236800,2019-04-26 00:00:00,ETH/GBP,119.69,125.74,117.79,124.58,126844.58,1037.59
1556150400,2019-04-25 00:00:00,ETH/GBP,128.08,129.44,115.57,119.69,87432.78,729.25
