https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1559779200,2019-06-06 00:00:00,ETH/EUR,219.33,223.11,209.15,221.61,1023885.87,4707.5
1559692800,2019-06-05 00:00:00,ETH/EUR,214.6,222.36,211.63,219.33,615734.51,2824.77
1559606400,2019-06-04 00:00:00,ETH/EUR,221.85,223.82,208.75,214.6,1484482.24,6854.82
1559520000,2019-06-03 00:00:00,ETH/EUR,241.45,241.45,218.61,221.85,1409134.1,6123.79
1559433600,2019-06-02 00:00:00,ETH/EUR,235.98,244.99,235.49,241.45,886473.1,3684.62
1559347200,2019-06-01 00:00:00,ETH/EUR,238.33,246.88,232.84,235.98,779183.16,3253.67
1559260800,2019-05-31 00:00:00,ETH/EUR,228.52,239.69,220.52,238.33,1619196.66,7032.36
1559174400,2019-05-30 00:00:00,ETH/EUR,242.72,259.78,215.5,228.52,5003710.65,20890.51
1559088000,2019-05-29 00:00:00,ETH/EUR,243.71,246.76,233.63,242.72,1433667.38,5930.71
1559001600,2019-05-28 00:00:00,ETH/EUR,243.87,247.95,235.67,243.71,1063908.06,4388.74
1558915200,2019-05-27 00:00:00,ETH/EUR,239.8,250.6,236.25,243.87,2611092.59,10825.11
1558828800,2019-05-26 00:00:00,ETH/EUR,223.83,243.98,219.19,239.8,2171111.23,9312.88
1558742400,2019-05-25 00:00:00,ETH/EUR,222.84,230.18,221.36,223.83,1006427.44,4462.17
1558656000,2019-05-24 00:00:00,ETH/EUR,219.59,227.83,217.2,222.84,784193.45,3507.9
1558569600,2019-05-23 00:00:00,ETH/EUR,218.14,221.55,206.36,219.59,1011715.31,4720.4
1558483200,2019-05-22 00:00:00,ETH/EUR,228.07,233.9,215.53,218.14,1654944.13,7339.06
1558396800,2019-05-21 00:00:00,ETH/EUR,225.33,235.95,221.86,228.07,1120725.62,4898.96
1558310400,2019-05-20 00:00:00,ETH/EUR,232.9,232.9,214.07,225.33,1791150.77,8012.25
1558224000,2019-05-19 00:00:00,ETH/EUR,209.12,237.16,206.99,232.9,2187186.5,9614.54
1558137600,2019-05-18 00:00:00,ETH/EUR,220.2,223.79,206.9,209.12,1268400.67,5936.34
1558051200,2019-05-17 00:00:00,ETH/EUR,236.25,240.29,203.42,220.2,4198269.11,19569.18
1557964800,2019-05-16 00:00:00,ETH/EUR,220.15,249.51,216.5,236.25,6096393.5,26118.46
1557878400,2019-05-15 00:00:00,ETH/EUR,193.31,221.69,192.57,220.15,3058329.07,14701.73
1557792000,2019-05-14 00:00:00,ETH/EUR,173.18,196.97,172.74,193.31,3430700.27,18572.51
1557705600,2019-05-13 00:00:00,ETH/EUR,167.31,182.46,165.7,173.18,1810383.02,10331.99
1557619200,2019-05-12 00:00:00,ETH/EUR,169.76,178.87,163.36,167.31,1818637.24,10683.74
1557532800,2019-05-11 00:00:00,ETH/EUR,154.93,181.18,154.76,169.76,2862990.99,16910.67
1557446400,2019-05-10 00:00:00,ETH/EUR,154.47,158.69,152.01,154.93,533823.15,3429.11
1557360000,2019-05-09 00:00:00,ETH/EUR,157.62,161.12,151.92,154.47,520104.38,3339.57
1557273600,2019-05-08 00:00:00,ETH/EUR,157.75,160.04,151.4,157.62,795715.03,5124.25
1557187200,2019-05-07 00:00:00,ETH/EUR,162.15,171.2,157.37,157.75,986806.2,5991.82
1557100800,2019-05-06 00:00:00,ETH/EUR,152.76,166.99,150.09,162.15,1171078.86,7372.26
1557014400,2019-05-05 00:00:00,ETH/EUR,152.33,154.22,148.31,152.76,263229.06,1740.8
1556928000,2019-05-04 00:00:00,ETH/EUR,156.25,159.48,149.18,152.33,287377.26,1864.92
1556841600,2019-05-03 00:00:00,ETH/EUR,151.46,162.31,150.42,156.25,1203210.06,7697.71
1556755200,2019-05-02 00:00:00,ETH/EUR,149.72,152.6,148.98,151.46,387216.32,2567.01
1556668800,2019-05-01 00:00:00,ETH/EUR,151.99,154.23,148.19,149.72,633806.52,4213.85
1556582400,2019-04-30 00:00:00,ETH/EUR,145.22,153.07,145.14,151.99,1151775.44,7728.35
